Date,Equity
2019-10-25,0.9995
2019-10-27,0.9995
2019-10-29,0.9995
2019-10-30,0.9995
2019-10-31,0.9995
2019-11-01,0.9990807900413725
2019-11-04,0.9985812496463519
2019-11-05,0.9985812496463519
2019-11-06,0.9985812496463519
2019-11-07,0.9985812496463519
2019-11-08,0.9985812496463519
2019-11-11,0.9720152754583131
2019-11-13,0.971529267820584
2019-11-14,0.971529267820584
2019-11-15,0.971529267820584
2019-11-18,0.971529267820584
2019-11-19,0.971529267820584
2019-11-20,0.959783027083918
2019-11-21,0.9593031355703762
2019-11-22,0.9593031355703762
2019-11-25,0.9593031355703762
2019-11-26,0.9593031355703762
2019-11-27,0.9281958418811758
2019-11-28,0.9277317439602353
2019-11-29,0.9277317439602353
2019-12-02,0.9277317439602353
2019-12-03,0.8964672560960398
2019-12-04,0.8960190224679918
2019-12-05,0.8960190224679918
2019-12-06,0.8960190224679918
2019-12-09,0.8960190224679918
2019-12-10,0.8960190224679918
2019-12-11,0.8906852020214507
2019-12-12,0.89023985942044
2019-12-13,0.89023985942044
2019-12-16,0.89023985942044
2019-12-17,0.89023985942044
2019-12-18,0.89023985942044
2019-12-19,0.906535469697661
2019-12-20,0.9060822019628122
2019-12-23,0.9060822019628122
2019-12-24,0.9060822019628122
2019-12-26,0.8856018457648391
2019-12-27,0.8851590448419567
2019-12-30,0.8851590448419567
2019-12-31,0.8851590448419567
2020-01-01,0.8851590448419567
2020-01-02,0.8851590448419567
2020-01-03,0.8753310223565643
2020-01-06,0.8748933568453862
2020-01-07,0.8748933568453862
2020-01-08,0.8748933568453862
2020-01-09,0.8748933568453862
2020-01-10,0.8748933568453862
2020-01-13,0.8932800263465123
2020-01-14,0.8928333863333391
2020-01-15,0.8928333863333391
2020-01-16,0.8928333863333391
2020-01-17,0.8928333863333391
2020-01-20,0.8928333863333391
2020-01-21,0.864039664474276
2020-01-22,0.863607644642039
2020-01-23,0.863607644642039
2020-01-24,0.863607644642039
2020-01-27,0.863607644642039
2020-01-28,0.863607644642039
2020-01-29,0.8602870916034936
2020-01-30,0.8598569480576919
2020-01-31,0.8422309218043696
