threshold,top_k,round_trip_cost,exit_threshold,trend_filter,CAGR,Sharpe,MaxDrawdown,TotalReturn,Days,Score
0.5,5,0.0005,0.52,True,0.2955952411803706,1.3922466696033644,-0.29753709090410796,4.007304124661057,2272,1.2428955692341892
0.51,5,0.0005,0.52,True,0.25005071251472333,1.205780543270393,-0.2857512247746885,3.008005880723447,2272,1.052194777205059
0.5,3,0.0005,0.48,False,0.3264324341881826,1.2145426047687122,-0.34382296197228646,4.79629166246071,2272,1.0374139654473378
0.5,5,0.001,0.52,True,0.2426385606930035,1.1858685539208687,-0.30104195033702663,2.8624446848258973,2272,1.0178265618591484
0.52,5,0.0005,0.48,True,0.2327287636766897,1.1374550818277427,-0.274469232525847,2.674786461622173,2272,0.987698324910072
0.51,3,0.0005,0.48,False,0.31492433186321955,1.14437611105756,-0.3635439071261364,4.490475280863057,2272,0.9480182849156167
0.51,3,0.0005,0.5,False,0.3116493655173853,1.139437553766197,-0.35656099282594245,4.405964620027902,2272,0.9476835691606584
0.5,5,0.0005,0.48,True,0.24743423641140838,1.1561715390739198,-0.3617847153665208,2.9561063562940477,2272,0.9409740377041258
0.5,3,0.0005,0.52,True,0.2571429722605061,1.144377185255768,-0.36009548382176093,3.1515675987441067,2272,0.933443689876511
0.5,3,0.0005,0.5,False,0.2855541787498359,1.1159573522301776,-0.34382296197228646,3.7707372524830722,2272,0.9265652362772991
0.52,3,0.0005,0.48,True,0.2552283443604797,1.1366402035933907,-0.3612618420534488,3.112393074409651,2272,0.9241992332587754
0.5,3,0.001,0.48,False,0.28625616055261127,1.0969310841464497,-0.3454619695902602,3.786964995026321,2272,0.9064383566400249
0.54,1,0.0005,0.52,True,0.27031344076777075,1.0716995035879462,-0.32743349274263445,3.4296254669054074,2272,0.8908467416241699
0.54,5,0.0005,0.48,False,0.1762330796228806,0.9759162844004224,-0.23130723517022533,1.7447125303309865,2272,0.8437404201511065
0.52,5,0.0005,0.5,False,0.24711034735353565,1.0802740206343917,-0.3905820447824816,2.949721217315331,2272,0.8419414890144671
0.52,3,0.0005,0.5,False,0.26964477282209987,1.030597084070894,-0.35656099282594167,3.415141482409437,2272,0.8262417216567706
0.54,3,0.0005,0.48,False,0.20150483326277202,0.9765063346736257,-0.2664313173757278,2.13274032924769,2272,0.8238127307518751
0.56,5,0.0005,0.48,False,0.12006286057026028,0.9395140097334107,-0.19321556485224967,1.0244509458256696,2272,0.8209604160226891
0.54,1,0.001,0.52,True,0.24663451050453866,0.997727466289918,-0.328945632648739,2.940356272432242,2272,0.8085613133222885
0.56,5,0.0005,0.48,True,0.11809221269840497,0.9086737322396461,-0.17703444775072086,1.0023964113866644,2272,0.8024738378485908
0.5,3,0.0005,0.48,True,0.25114312253074345,1.0773229446901065,-0.4409730959774413,3.029842993743917,2272,0.7998874046673765
0.52,3,0.0005,0.48,False,0.25546695262486785,0.9986031601288494,-0.34668877459635195,3.1172581652824736,2272,0.7978922262392281
0.51,5,0.0005,0.48,True,0.20852873480676726,1.0202917593263108,-0.3617847153665208,2.2484117787183675,2272,0.7934226074751243
0.51,5,0.0005,0.5,False,0.23413838304218548,1.024180407713581,-0.38154420377783704,2.7010033381348317,2272,0.7891865596039669
0.5,3,0.001,0.5,False,0.24376245401215813,0.9863062467143366,-0.3454619695902602,2.8842260954485264,2272,0.7830654072457759
0.56,3,0.0005,0.48,False,0.1344862638328801,0.9211076587744941,-0.22349692323325754,1.1921639887854156,2272,0.782655999337752
0.51,3,0.0005,0.48,True,0.23887012503983018,1.0628421582410137,-0.4409730959774413,2.790157722816574,2272,0.7817247189710097
0.51,5,0.001,0.52,True,0.18758541984843613,0.9537535914783479,-0.2893148884569767,1.9137014628857747,2272,0.7785773066672973
0.51,3,0.001,0.48,False,0.2615325796906307,0.9924791484089576,-0.3679852026089312,3.2425653854922922,2272,0.7765507602290018
0.51,3,0.001,0.5,False,0.25732856284316874,0.9835384385561551,-0.3623281155964978,3.1553814946313983,2272,0.7708745149319076
0.5,5,0.0005,0.48,False,0.23364372264469302,1.0040844472163921,-0.38154420377783704,2.6917855543006857,2272,0.7689422009875302
0.52,5,0.001,0.48,True,0.1807265737735939,0.9246848286726765,-0.27664337729551125,1.810590169977511,2272,0.7575880989683457
0.56,5,0.0005,0.5,False,0.10929778286619918,0.8698264559430698,-0.19416914515167405,0.9064145560587618,2272,0.7472804746815904
0.5,3,0.001,0.52,True,0.2096911265114454,0.9720138458063134,-0.36360661089794677,2.267895644307152,2272,0.7440358950413897
0.52,5,0.0005,0.5,True,0.17695750686181522,0.9077385624855974,-0.274469232525847,1.7552446203055547,2272,0.7412504285234643
0.51,3,0.0005,0.52,True,0.21057809026250962,0.9581115846888163,-0.3636858363692007,2.2828287070144673,2272,0.7303363426722085
0.5,5,0.001,0.48,True,0.19668665056221024,0.9596613330666692,-0.36306034824651334,2.055408860151599,2272,0.7282190496381216
0.52,3,0.001,0.48,True,0.20547156777215125,0.9546351470860396,-0.3622195899602486,2.1976327372064715,2272,0.726500945449486
0.56,5,0.001,0.48,False,0.10765802929881008,0.8534151968729267,-0.20442789012939977,0.8889526973078294,2272,0.7221702935590499
0.56,5,0.001,0.48,True,0.10695466214322069,0.8332387396250244,-0.1848185067151923,0.8815037349592332,2272,0.7174703328958367
0.54,5,0.0005,0.5,False,0.1542569506986713,0.8703850362174634,-0.24915849151724212,1.4408791283522828,2272,0.7173353282132711
0.56,3,0.001,0.48,False,0.12282420150407192,0.8518995734782232,-0.22679129122213038,1.0556972310079358,2272,0.7073138009517405
0.54,3,0.001,0.48,False,0.1747079318584892,0.8697828794754936,-0.2689952797116999,1.7226495674694728,2272,0.7069990352636804
0.54,5,0.001,0.48,False,0.1481518451666748,0.8443972007748768,-0.2322678608497193,1.361672321681429,2272,0.7030284656451038
0.52,5,0.0005,0.48,False,0.20865362706499746,0.952657865828553,-0.3905820447824816,2.2505005210381923,2272,0.702788318122067
0.56,3,0.0005,0.5,False,0.11777102067065282,0.8259140653360606,-0.21499412886549796,0.9988209700297304,2272,0.689250068444858
0.51,5,0.0005,0.48,False,0.2076087780642124,0.9279829672186911,-0.38154420377783704,2.233060775728554,2272,0.6850302376156852
0.5,5,0.0005,0.5,True,0.1835873979324829,0.9136478249613185,-0.3617847153665208,1.8532191313771622,2272,0.6792962720478466
0.56,5,0.0005,0.5,True,0.09949446784554805,0.7935356786612818,-0.18301849025542682,0.804002416784408,2272,0.6769692268106048
0.58,5,0.0005,0.48,True,0.07021802291323742,0.7354251758043262,-0.10329147396347083,0.5252082994190179,2272,0.6738574035075207
0.54,1,0.0005,0.48,True,0.23403590356183046,0.9550236880601309,-0.4463460185571161,2.6990920925092245,2272,0.6681576442829873
0.5,5,0.0005,0.52,False,0.18140360971251246,0.8699760586018926,-0.3276600909180759,1.8206300392665327,2272,0.6622690687811856
0.5,3,0.001,0.48,True,0.21427207915412905,0.9498990350370363,-0.4434840048657134,2.3456387723923835,2272,0.6593934548907043
0.52,3,0.001,0.5,False,0.21760193069111966,0.8739736038040296,-0.3623281155964977,2.4031186039373216,2272,0.6493916905341672
0.56,5,0.001,0.5,False,0.09674757291416736,0.7813945448231776,-0.2053682180010019,0.7761493607688759,2272,0.6461242422966262
0.51,5,0.0005,0.52,False,0.1816730518249725,0.8520545834008402,-0.3257155886183576,1.8246340013378068,2272,0.6459840280536457
0.5,3,0.002,0.48,False,0.2094895258882914,0.8614317695415745,-0.34872893580825515,2.264509427651423,2272,0.6452954786614579
0.54,1,0.002,0.52,True,0.20057560821618403,0.8495645934033826,-0.33426010270228124,2.117699864702352,2272,0.6423291937064128
0.5,5,0.0005,0.5,False,0.1932339712790221,0.8895158021892149,-0.38154420377783704,2.0009844728003565,2272,0.6422506305506519
