threshold,CAGR,Sharpe,MaxDrawdown,TotalReturn,Trades
0.52,0.20811318583026495,0.7753733696372891,-0.2713193147274531,2.2448275186826954,294
0.51,0.20737749316743526,0.7706872627825255,-0.2713193147274531,2.2325449370949997,297
0.5,0.2039820762830702,0.7604451114008044,-0.2713193147274531,2.176361993285358,300
0.53,0.11922329855976699,0.5688736916329984,-0.2800814825533473,1.0162733464521856,280
0.58,0.02697260816074709,0.37314726090735784,-0.09478798725364856,0.18022277548585208,48
0.54,0.0422617413424109,0.3020405337767712,-0.237928262992959,0.293961172863624,233
0.55,0.01683127797375983,0.18752598774901516,-0.23041694798705514,0.10950869058053092,148
0.64,0.005514064151415754,0.15552771963924378,-0.03315651921251639,0.034828341543837515,6
0.67,1.2070937639219181e-05,0.03995518833717619,-0.0004999999999999449,7.51544913732971e-05,1
0.68,1.2070937639219181e-05,0.03995518833717619,-0.0004999999999999449,7.51544913732971e-05,1
0.56,-0.002326986520174823,0.035566244149239874,-0.2304586059281637,-0.014399722013434646,102
0.65,2.526982427508706e-05,0.010761012887289737,-0.03235097632721606,0.0001573370972416388,3
0.69,0.0,0.0,0.0,0.0,0
0.57,-0.006239108374355928,-0.008164752369283377,-0.20588985959813566,-0.03821618341971311,63
0.6,-0.004573495487037782,-0.0637508191710306,-0.15275306325326665,-0.028135913225038944,22
0.62,-0.005185622740583984,-0.07572055941215644,-0.09222538652581869,-0.031850756582102346,12
0.63,-0.004471846747454822,-0.08127057648403824,-0.06353876354843246,-0.027517876264681163,9
0.61,-0.018028697873756938,-0.37802953188599686,-0.11716769147009076,-0.10708913260627761,15
0.66,-0.00525619152616108,-0.4090815229601621,-0.032350976327216174,-0.03227825315701416,2
0.59,-0.02181254425713397,-0.43634020770596316,-0.16074991475378875,-0.12829578425414423,31
