Date,Close,High,Low,Open,Volume
2016-01-01,1304.5333251953125,1311.9375896531208,1294.0495317220687,1294.0495317220687,129486
2016-01-04,1298.5050048828125,1312.4178060791226,1289.5063743812507,1301.7374646531596,253614
2016-01-05,1295.927734375,1307.2196948160292,1288.763852405773,1300.4707749562829,228500
2016-01-06,1311.216796875,1313.0951645808125,1289.9434534288555,1289.9434534288555,267276
2016-01-07,1287.125732421875,1308.2243849795118,1271.6184568814003,1306.1057427047604,298800
2016-01-08,1267.796142578125,1296.4954993854635,1258.884856155013,1287.3221821728305,333412
2016-01-11,1275.2225341796875,1279.4597129923907,1241.0846154390895,1262.4672726072195,264812
2016-01-12,1282.779541015625,1304.9701519172334,1267.2285380145547,1275.5282078602204,357368
2016-01-13,1269.0628662109375,1293.6342511152952,1252.1796372864198,1284.3517279292046,509212
2016-01-14,1265.7432861328125,1273.3439932106396,1241.0626907240985,1262.4015132089496,279524
2016-01-15,1248.947265625,1281.6436362220454,1245.1687747276553,1271.1161185691951,266612
2016-01-18,1207.951416015625,1253.686942736651,1199.3459903861026,1244.9504483621795,422410
2016-01-19,1193.841796875,1205.7015437462196,1189.4954128333425,1201.2678161018111,296504
2016-01-20,1170.5589599609375,1188.1630141842454,1137.9281808639555,1188.0975331472662,547548
2016-01-21,1144.3494873046875,1192.1163043150364,1138.0811177129115,1186.8525460772685,509584
2016-01-22,1142.6898193359375,1161.9538334438043,1136.7926852188355,1157.5855859496546,544196
2016-01-25,1136.8800048828125,1157.1486282685678,1130.8299401397717,1150.0283643417367,497200
2016-01-27,1157.4324951171875,1159.7695498631433,1136.1372915180054,1140.9860882269418,912516
2016-01-28,1166.43115234375,1178.531175175049,1154.7679542113908,1166.321946169015,700714
2016-01-29,1174.8179931640625,1178.116040487339,1169.3795477881372,1172.874144867818,389020
2016-02-01,1223.327392578125,1229.6613497973296,1179.0988982026438,1183.7947630375713,696656
2016-02-02,1219.9857177734375,1256.0892309979254,1210.4847820147156,1224.550513854622,642304
2016-02-03,1235.3621826171875,1247.0472439896705,1191.0244731103835,1214.3727332898068,500410
2016-02-04,1247.7025146484375,1257.9241708112077,1229.6616317240066,1244.0768480106467,762508
2016-02-05,1250.4105224609375,1254.5384939481182,1229.6613522192276,1247.6366433594426,518808
2016-02-08,1247.134521484375,1290.096273490844,1242.263968726382,1251.7211808453508,388862
2016-02-09,1215.7266845703125,1262.4231954024965,1205.6359928411384,1241.4556129183027,498770
2016-02-10,1189.036865234375,1253.6869225652667,1174.0537562938975,1240.5821812144104,687422
2016-02-11,1150.5960693359375,1192.4220274372724,1140.5928280204873,1179.4264947634895,583352
2016-02-12,1124.823486328125,1161.0362075594096,1094.2676230482684,1157.5853354444782,713848
2016-02-15,1164.531005859375,1183.7950191244565,1123.513206342473,1137.9284224425126,710510
2016-02-16,1147.0577392578125,1175.0582403577048,1140.3306826965756,1159.8131036154361,315378
2016-02-17,1158.5462646484375,1163.2639919910973,1111.8060291459788,1155.4011486355437,254606
2016-02-18,1202.796875,1208.9779021729137,1165.6230484072516,1165.6230484072516,390156
