Date,Close,High,Low,Open,Volume
2020-11-10,2483.203857421875,2513.284175220378,2459.3919843459826,2513.284175220378,1352612
2020-11-11,2574.833251953125,2587.328236336334,2484.8447548663657,2507.3945184657805,2829916
2020-11-12,2596.4150390625,2608.3629832562956,2555.354316177216,2574.70668669815,2093558
2020-11-13,2632.6796875,2637.72813219878,2584.046501239147,2599.1076124218107,1274593
2020-11-14,2621.572998046875,2656.2810533359475,2606.680128134455,2656.2810533359475,199281
2020-11-17,2550.55859375,2648.7508078354053,2525.063905436484,2647.4044736678047,1933560
2020-11-18,2509.918701171875,2565.409487557279,2476.8513436423145,2559.4356172540784,1956934
2020-11-19,2514.546630859375,2639.2853084651647,2503.3137571490965,2548.623638906825,4282399
2020-11-20,2523.08642578125,2540.1670384932927,2495.319979292881,2523.3810005642185,1531471
2020-11-23,2574.496337890625,2586.48639355365,2509.0769113783294,2544.9209494238557,1653325
2020-11-24,2586.612548828125,2616.4825123628866,2559.2668075639067,2571.341086260032,1517541
2020-11-25,2531.58447265625,2604.029730760363,2525.063565414676,2591.114045216426,1110258
2020-11-26,2544.87890625,2565.99810967883,2504.1127569862706,2530.953572074617,859782
2020-11-27,2615.8095703125,2623.9711812972446,2551.147327163427,2565.451253470082,3266924
2020-12-01,2616.98779296875,2633.5213689085044,2587.370288739221,2625.1915164576803,1503427
2020-12-02,2630.407958984375,2673.235721928899,2600.790457492299,2619.3014216025645,1748207
2020-12-03,2641.893310546875,2664.737441047721,2629.8190312581787,2655.4819589348303,974736
2020-12-04,2676.053955078125,2694.186324486228,2650.433142452098,2651.274549798908,1089915
2020-12-07,2670.66943359375,2707.6071395289446,2638.3173573069216,2675.5915440629747,991744
2020-12-08,2665.53662109375,2696.5425669917527,2654.3458612142927,2671.4685845469335,644753
2020-12-09,2684.6787109375,2695.8694711122957,2655.608042441501,2671.426543593549,669455
2020-12-10,2687.707763671875,2699.02465239024,2663.895892593718,2675.675596477582,559968
2020-12-11,2680.13525390625,2725.739497672605,2666.420271067907,2692.5039026245827,1276394
2020-12-14,2619.84814453125,2704.2834617293593,2612.5700524796703,2704.2834617293593,1421591
2020-12-15,2618.7548828125,2637.8126817415437,2592.460896750483,2593.6808966194076,1058918
2020-12-16,2623.087646484375,2646.226350663467,2612.5700536756967,2633.6894622042164,1025407
2020-12-17,2619.006591796875,2656.7437948520615,2609.2463894694547,2637.812128855491,969196
2020-12-18,2638.06494140625,2645.385145476367,2609.2046234485415,2609.2046234485415,1109264
2020-12-21,2519.258056640625,2652.8314855332533,2477.902758395,2648.750577347997,1397172
2020-12-22,2565.53564453125,2574.7069039485104,2440.5866330161016,2541.050604550491,1073505
2020-12-23,2557.9208984375,2586.065938084869,2534.3193770983,2563.432158618794,711716
2020-12-24,2585.729248046875,2594.64804352681,2549.4645057469293,2562.085617161518,640601
2020-12-28,2593.72314453125,2628.55733693005,2576.979010073028,2604.9979241790766,742559
2020-12-29,2586.486328125,2613.4113647222675,2575.5480320073602,2604.9972907856213,478502
2020-12-30,2609.540771484375,2615.052030918958,2579.418551556332,2591.5347356843486,505754
2020-12-31,2616.77685546875,2623.339873875491,2595.741671743117,2614.252633421674,605742
2021-01-01,2610.592529296875,2625.864196519774,2602.4730302364082,2620.9839926241225,408952
