Date,Close,High,Low,Open,Volume
2016-01-01,1932.4906005859375,1941.7770680151966,1927.1183074151265,1941.7770680151966,70853
2016-01-04,1905.8978271484375,1955.2078038246448,1899.8346981385828,1911.0014307199451,190056
2016-01-05,1920.4796142578125,1936.596492522444,1912.1140745456544,1918.6759838846804,192154
2016-01-06,1907.547607421875,1929.5355586062205,1898.33796296842,1912.6896214342482,222912
2016-01-07,1856.70263671875,1907.1638120269067,1847.186079365564,1899.4891085579854,221180
2016-01-08,1823.39453125,1875.6207393942864,1811.2300510857442,1866.8716522313869,206203
2016-01-11,1811.614013671875,1821.0155267697273,1788.1293427403816,1811.1534564494077,159001
2016-01-12,1799.21923828125,1824.6223951259306,1793.6933017163215,1812.381280188885,199864
2016-01-13,1818.6746826171875,1832.6426072925412,1789.8945408256423,1807.392904509045,246183
2016-01-14,1813.1103515625,1822.4734526717157,1782.9105047017201,1802.7879124836784,205015
2016-01-15,1782.18115234375,1818.8662716018196,1775.1588737706231,1818.8662716018196,334940
2016-01-18,1726.7314453125,1792.1200682639505,1716.6776962675522,1772.8564877560743,329495
2016-01-19,1739.318359375,1758.2748424634256,1714.8359390195333,1734.4448469541487,153092
2016-01-20,1748.5665283203125,1753.5933103128516,1711.4592538545894,1719.517694287537,176561
2016-01-21,1744.4215087890625,1765.104795044792,1731.4513362035761,1749.8706226420445,190801
2016-01-22,1779.6488037109375,1787.6688318794947,1745.3427270939364,1749.0650334649047,161259
2016-01-25,1786.1339111328125,1802.0205110430804,1776.6939876766317,1783.064029512637,214198
2016-01-27,1767.369140625,1790.5082963387972,1753.7081311513637,1790.5082963387972,256991
2016-01-28,1737.092529296875,1773.3172841772632,1731.1830443478104,1765.9494929610826,172772
2016-01-29,1797.377197265625,1811.1532529461556,1737.207595148382,1742.1577415654751,234367
2016-02-01,1786.5947265625,1812.7271378462824,1772.9338998420244,1811.230607657326,155264
2016-02-02,1814.376708984375,1829.9562070176632,1765.1817851541934,1772.8564885679075,281676
2016-02-03,1801.7515869140625,1838.0913808107218,1792.0431625023111,1799.717865553713,179941
2016-02-04,1773.355712890625,1834.139529026948,1761.3448739923049,1818.9051639920535,1147152
2016-02-05,1816.103759765625,1825.7737749357755,1767.5994778173897,1779.3034020861853,261889
2016-02-08,1807.43115234375,1833.3332776178838,1802.0204487012356,1816.0651941017945,80466
2016-02-09,1823.9700927734375,1834.2541204250342,1794.2688405921795,1798.9504846344269,166296
2016-02-10,1817.48486328125,1832.6424029345799,1797.4155882581567,1814.2615252341743,194080
2016-02-11,1788.129150390625,1831.9133727248804,1756.7780980183763,1824.0468013871734,310125
2016-02-12,1768.5584716796875,1787.2848592877049,1727.5756329020717,1772.856380277115,326424
2016-02-15,1797.4925537109375,1820.670123024991,1769.0193260526523,1785.136204945106,308865
2016-02-16,1788.0911865234375,1817.9073024782354,1787.093437417622,1815.0676991545483,293481
2016-02-17,1809.27294921875,1818.1372692848004,1737.3994254888835,1787.8221902908158,248046
2016-02-18,1846.8404541015625,1855.4744949724943,1814.3766103234013,1818.943021132114,318053
2016-02-19,1884.75390625,1893.349537531575,1846.6488872453115,1849.6037233283728,310736
2016-02-22,1900.832275390625,1907.1639060646828,1881.2617805799007,1887.2096760615914,199748
2016-02-23,1839.2044677734375,1903.3266594395866,1831.7600421038037,1903.3266594395866,220555
2016-02-24,1793.8853759765625,1848.068865332009,1788.4748591370108,1831.7601180777292,297923
2016-02-25,1782.06640625,1805.7429448644423,1759.1957490918555,1794.3459335971145,530719
2016-02-26,1717.675537109375,1805.0135166949358,1705.2041434003727,1789.1269172597622,524806
